epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,259.579,1.31435,4.95628,0.0082,0.01376,0.04768,0.00363,0.00268,1.1343,4.67324,0.00813,6.8673e-05,6.8673e-05,6.8673e-05
2,592.041,1.24362,4.29373,0.00749,0.03008,0.2175,0.03492,0.02198,1.18407,3.65016,0.00846,0.00013664,0.00013664,0.00013664
3,878.163,1.2651,3.61483,0.00778,0.04406,0.3285,0.08223,0.05371,1.21228,3.09085,0.0087,0.000203234,0.000203234,0.000203234
4,1286.88,1.30752,3.05741,0.00797,0.46474,0.18383,0.15357,0.09619,1.24709,2.65714,0.00896,0.000201822,0.000201822,0.000201822
5,1714.37,1.33792,2.75546,0.00814,0.52706,0.25115,0.2375,0.14789,1.25979,2.44362,0.009,0.000199763,0.000199763,0.000199763
6,2133.3,1.32376,2.49804,0.00805,0.45184,0.33954,0.30123,0.19078,1.24339,2.23983,0.00893,0.000197704,0.000197704,0.000197704
7,2405.7,1.31971,2.33102,0.00801,0.491,0.36043,0.33879,0.21854,1.24232,2.11156,0.00878,0.000195645,0.000195645,0.000195645
8,2683.83,1.33777,2.2261,0.00813,0.43502,0.40756,0.37837,0.24107,1.25028,2.07166,0.00885,0.000193586,0.000193586,0.000193586
9,2946.11,1.31615,2.15439,0.00806,0.47322,0.46128,0.42543,0.26965,1.25155,2.0108,0.00884,0.000191526,0.000191526,0.000191526
10,3292.31,1.34251,2.105,0.00846,0.53532,0.47894,0.4723,0.2973,1.26081,1.88497,0.00893,0.000189467,0.000189467,0.000189467
11,3611.81,1.33917,2.07948,0.00872,0.55694,0.46228,0.48344,0.30624,1.23558,1.7502,0.00868,0.000187408,0.000187408,0.000187408
12,3982.81,1.33581,1.9656,0.00815,0.53572,0.50438,0.50729,0.32963,1.24512,1.7552,0.00881,0.000185349,0.000185349,0.000185349
13,4245.56,1.31935,1.87213,0.00791,0.54728,0.582,0.55709,0.35437,1.2551,1.68025,0.00883,0.00018329,0.00018329,0.00018329
14,4594.63,1.32138,1.86404,0.00816,0.62142,0.49808,0.55556,0.35685,1.25542,1.74061,0.00886,0.00018123,0.00018123,0.00018123
15,4890.52,1.32218,1.76193,0.00818,0.59643,0.55363,0.59966,0.39005,1.24432,1.56737,0.00874,0.000179171,0.000179171,0.000179171
16,5161.2,1.32408,1.7023,0.00803,0.6113,0.58111,0.61194,0.39711,1.24884,1.55896,0.00877,0.000177112,0.000177112,0.000177112
17,5425.01,1.31711,1.69183,0.00798,0.65241,0.5691,0.6387,0.41636,1.24778,1.51253,0.00881,0.000175053,0.000175053,0.000175053
18,5708.07,1.31983,1.66549,0.00797,0.60429,0.62395,0.64332,0.41369,1.2448,1.60656,0.00875,0.000172994,0.000172994,0.000172994
19,5961.55,1.3287,1.60941,0.00837,0.63743,0.58196,0.6459,0.41768,1.25014,1.47922,0.00884,0.000170934,0.000170934,0.000170934
20,6208.95,1.2912,1.58424,0.00805,0.63301,0.62463,0.67871,0.44186,1.24526,1.43043,0.00879,0.000168875,0.000168875,0.000168875
21,6521.96,1.29695,1.53795,0.00785,0.6615,0.64824,0.6914,0.44794,1.24453,1.38279,0.00878,0.000166816,0.000166816,0.000166816
22,6850.21,1.28926,1.50561,0.00797,0.64238,0.64804,0.7067,0.46514,1.22753,1.36407,0.00856,0.000164757,0.000164757,0.000164757
23,7075.35,1.30813,1.48457,0.00789,0.65196,0.63372,0.70222,0.45818,1.2376,1.40132,0.00872,0.000162698,0.000162698,0.000162698
24,7348.27,1.29443,1.45364,0.00785,0.69495,0.66046,0.73822,0.48779,1.23903,1.32169,0.00867,0.000160638,0.000160638,0.000160638
25,7677.02,1.2909,1.4187,0.00779,0.69046,0.68636,0.74012,0.48678,1.23562,1.28638,0.00869,0.000158579,0.000158579,0.000158579
26,8009.58,1.30539,1.42399,0.00794,0.63894,0.7116,0.72988,0.48149,1.23736,1.2681,0.00866,0.00015652,0.00015652,0.00015652
27,8493.03,1.30068,1.39833,0.00798,0.6737,0.70188,0.7412,0.48618,1.24306,1.3323,0.00878,0.000154461,0.000154461,0.000154461
28,8847.14,1.29233,1.36149,0.00768,0.68379,0.72269,0.7568,0.50203,1.23469,1.19995,0.00861,0.000152402,0.000152402,0.000152402
29,9093.79,1.28989,1.32716,0.00785,0.70349,0.71597,0.76343,0.50282,1.23424,1.19683,0.00866,0.000150342,0.000150342,0.000150342
30,9413.19,1.29039,1.32777,0.00779,0.68618,0.72583,0.76256,0.50265,1.23606,1.18371,0.00869,0.000148283,0.000148283,0.000148283
31,9686.19,1.31704,1.31741,0.00776,0.68803,0.73649,0.7744,0.51099,1.23238,1.17582,0.00859,0.000146224,0.000146224,0.000146224
32,9985.02,1.30266,1.27993,0.00785,0.68565,0.72627,0.77699,0.51358,1.23275,1.1625,0.0086,0.000144165,0.000144165,0.000144165
33,10241.1,1.30375,1.29935,0.00816,0.69604,0.75807,0.78822,0.52129,1.23176,1.12859,0.00864,0.000142106,0.000142106,0.000142106
34,10556.2,1.29918,1.26383,0.00783,0.71315,0.75643,0.79977,0.52882,1.23663,1.11594,0.00863,0.000140046,0.000140046,0.000140046
35,10852.7,1.28251,1.2248,0.00792,0.69812,0.7626,0.79965,0.53054,1.22858,1.09702,0.00858,0.000137987,0.000137987,0.000137987
36,11091.7,1.28322,1.21782,0.00788,0.73609,0.73812,0.79447,0.5293,1.2236,1.08562,0.00856,0.000135928,0.000135928,0.000135928
37,11378.7,1.28574,1.19754,0.00783,0.73537,0.74076,0.79995,0.53456,1.21902,1.06534,0.00848,0.000133869,0.000133869,0.000133869
38,11730.6,1.30246,1.17651,0.00757,0.72568,0.73616,0.79673,0.53296,1.22268,1.05415,0.00852,0.00013181,0.00013181,0.00013181
39,12224.8,1.26639,1.18554,0.00759,0.74983,0.74474,0.80483,0.53981,1.22264,1.04065,0.00849,0.00012975,0.00012975,0.00012975
40,12592.3,1.28974,1.15505,0.00762,0.75645,0.74576,0.80205,0.53527,1.22453,1.05902,0.00853,0.000127691,0.000127691,0.000127691
41,12900.5,1.27838,1.15912,0.00785,0.74634,0.75482,0.80404,0.53702,1.22152,1.02079,0.00851,0.000125632,0.000125632,0.000125632
42,13379.7,1.28625,1.16313,0.00776,0.74931,0.75662,0.81132,0.54237,1.21672,1.0071,0.00845,0.000123573,0.000123573,0.000123573
43,13670.4,1.28864,1.148,0.00781,0.75445,0.76626,0.82019,0.54635,1.22305,0.98658,0.00852,0.000121514,0.000121514,0.000121514
44,13987,1.28815,1.1105,0.00785,0.74571,0.76792,0.81648,0.54643,1.22322,0.9727,0.00857,0.000119454,0.000119454,0.000119454
45,14315,1.28582,1.1274,0.00792,0.76739,0.75825,0.82159,0.54761,1.22318,0.96614,0.00853,0.000117395,0.000117395,0.000117395
46,14862.5,1.29188,1.08752,0.00742,0.76411,0.75537,0.82336,0.55353,1.22467,0.95235,0.00851,0.000115336,0.000115336,0.000115336
47,15231.8,1.27814,1.10044,0.00766,0.77256,0.76349,0.82453,0.55162,1.21801,0.95021,0.00844,0.000113277,0.000113277,0.000113277
48,15703.5,1.27798,1.09383,0.00772,0.75707,0.77324,0.82778,0.55285,1.22024,0.94718,0.0085,0.000111218,0.000111218,0.000111218
49,15998.5,1.29253,1.10393,0.00799,0.74399,0.78668,0.82668,0.55341,1.2156,0.95152,0.00846,0.000109158,0.000109158,0.000109158
50,16359.5,1.25318,1.06042,0.00758,0.78731,0.77373,0.8328,0.55636,1.2258,0.93162,0.00856,0.000107099,0.000107099,0.000107099
51,16737,1.26747,1.04275,0.00745,0.78127,0.76293,0.83228,0.55905,1.19258,0.89409,0.00826,0.00010504,0.00010504,0.00010504
52,17097.6,1.26906,1.04473,0.00754,0.79782,0.75508,0.83463,0.56098,1.21548,0.89462,0.00842,0.000102981,0.000102981,0.000102981
53,17515.7,1.27739,1.03962,0.00762,0.79492,0.77675,0.8384,0.56368,1.21462,0.90153,0.00842,0.000100922,0.000100922,0.000100922
54,17861.6,1.28423,1.03357,0.00759,0.79097,0.77833,0.84099,0.56588,1.21538,0.88872,0.00844,9.88624e-05,9.88624e-05,9.88624e-05
55,18164.9,1.26052,1.03125,0.00764,0.80363,0.75604,0.83962,0.56635,1.19261,0.87457,0.00825,9.68032e-05,9.68032e-05,9.68032e-05
56,18459.2,1.26362,1.02066,0.00757,0.77912,0.78866,0.8468,0.57083,1.2194,0.87109,0.00846,9.4744e-05,9.4744e-05,9.4744e-05
57,18844.9,1.25394,1.02265,0.00757,0.76731,0.79345,0.84396,0.56637,1.21352,0.8821,0.00842,9.26848e-05,9.26848e-05,9.26848e-05
58,19344,1.27763,1.00857,0.0074,0.76664,0.78786,0.84007,0.56333,1.21966,0.86204,0.00846,9.06256e-05,9.06256e-05,9.06256e-05
59,19786.2,1.27027,1.01164,0.00761,0.77575,0.78185,0.84146,0.5621,1.22298,0.86001,0.00849,8.85664e-05,8.85664e-05,8.85664e-05
60,20305.3,1.26669,0.99386,0.00745,0.79565,0.78329,0.84935,0.56969,1.21556,0.8564,0.0084,8.65072e-05,8.65072e-05,8.65072e-05
61,20797.3,1.27447,0.99594,0.00761,0.78042,0.7996,0.84567,0.56768,1.22099,0.85432,0.00843,8.4448e-05,8.4448e-05,8.4448e-05
62,21169.2,1.2537,0.96836,0.00761,0.77448,0.8011,0.84523,0.56909,1.21353,0.854,0.00838,8.23888e-05,8.23888e-05,8.23888e-05
63,21516.4,1.26245,0.97922,0.00761,0.80364,0.78962,0.8493,0.56992,1.21835,0.83923,0.00844,8.03296e-05,8.03296e-05,8.03296e-05
64,21782.9,1.24885,0.95574,0.00742,0.78377,0.78717,0.84686,0.56953,1.2165,0.84244,0.00845,7.82704e-05,7.82704e-05,7.82704e-05
65,22158.3,1.24827,0.95782,0.00748,0.82196,0.78947,0.85458,0.57783,1.2136,0.82338,0.00837,7.62112e-05,7.62112e-05,7.62112e-05
66,22484.9,1.25155,0.95242,0.00771,0.78799,0.79577,0.85153,0.5748,1.21593,0.82638,0.00842,7.4152e-05,7.4152e-05,7.4152e-05
